Gregorian,wikipedia,Fliegel,Hatcher,Meeus,Vallado,Curtis2020,Curtis2014,boost,php,pyorbital,NAOJ,minName,minJD,maxName,maxJD,max-min
-4713/01/01,-327.5,-325,-327,-329.5,-378.5,-379.5,-379.5,-326,38,-327.5,nan,Curtis2020,-379.5,php,38,417.5
-4713/02/01,-296.5,-296,-296,-299.5,-347.5,-348.5,-348.5,-296,69,-296.5,nan,Curtis2020,-348.5,php,69,417.5
-4713/03/01,-268.5,-266,-268,-268.5,-319.5,-318.5,-319.5,-267,98,-268.5,nan,Vallado,-319.5,php,98,417.5
-4713/04/01,-237.5,-235,-237,-237.5,-288.5,-287.5,-288.5,-236,129,-237.5,nan,Vallado,-288.5,php,129,417.5
-4713/05/01,-207.5,-205,-207,-207.5,-258.5,-257.5,-258.5,-206,159,-207.5,nan,Vallado,-258.5,php,159,417.5
-4713/06/01,-176.5,-174,-176,-176.5,-227.5,-226.5,-227.5,-175,190,-176.5,nan,Vallado,-227.5,php,190,417.5
-4713/07/01,-146.5,-144,-146,-146.5,-197.5,-196.5,-197.5,-145,220,-146.5,nan,Vallado,-197.5,php,220,417.5
-4713/08/01,-115.5,-113,-115,-115.5,-166.5,-165.5,-166.5,-114,251,-115.5,nan,Vallado,-166.5,php,251,417.5
-4713/09/01,-84.5,-82,-84,-84.5,-135.5,-134.5,-135.5,-83,282,-84.5,nan,Vallado,-135.5,php,282,417.5
-4713/10/01,-54.5,-52,-54,-54.5,-105.5,-104.5,-105.5,-53,312,-54.5,nan,Vallado,-105.5,php,312,417.5
-4713/11/01,-23.5,-21,-23,-23.5,-74.5,-73.5,-74.5,-22,343,-23.5,nan,Vallado,-74.5,php,343,417.5
-4713/12/01,6.5,9,7,6.5,-44.5,-43.5,-44.5,7,373,6.5,nan,Vallado,-44.5,php,373,417.5
-4712/01/01,37.5,40,38,36.5,-13.5,-13.5,-13.5,38,404,37.5,0.0,Vallado,-13.5,php,404,417.5
-4712/02/01,68.5,69,69,66.5,17.5,17.5,17.5,69,435,68.5,31.0,Vallado,17.5,php,435,417.5
-4712/03/01,97.5,99,98,97.5,46.5,46.5,45.5,97,463,97.5,60.0,Curtis2014,45.5,php,463,417.5
-4712/04/01,128.5,130,129,128.5,77.5,77.5,76.5,128,494,128.5,91.0,Curtis2014,76.5,php,494,417.5
-4712/05/01,158.5,160,159,158.5,107.5,107.5,106.5,158,524,158.5,121.0,Curtis2014,106.5,php,524,417.5
-4712/06/01,189.5,191,190,189.5,138.5,138.5,137.5,189,555,189.5,152.0,Curtis2014,137.5,php,555,417.5
-4712/07/01,219.5,221,220,219.5,168.5,168.5,167.5,220,585,219.5,182.0,Curtis2014,167.5,php,585,417.5
-4712/08/01,250.5,252,251,250.5,199.5,199.5,198.5,250,616,250.5,213.0,Curtis2014,198.5,php,616,417.5
-4712/09/01,281.5,283,282,281.5,230.5,230.5,229.5,281,647,281.5,244.0,Curtis2014,229.5,php,647,417.5
-4712/10/01,311.5,313,312,311.5,260.5,260.5,259.5,311,677,311.5,274.0,Curtis2014,259.5,php,677,417.5
-4712/11/01,342.5,344,343,342.5,291.5,291.5,290.5,342,708,342.5,305.0,Curtis2014,290.5,php,708,417.5
-4712/12/01,372.5,374,373,372.5,321.5,321.5,320.5,373,738,372.5,335.0,Curtis2014,320.5,php,738,417.5
-4711/01/01,403.5,405,404,401.5,352.5,351.5,351.5,403,769,403.5,366.0,Curtis2020,351.5,php,769,417.5
-4711/02/01,434.5,435,435,431.5,383.5,382.5,382.5,434,800,434.5,397.0,Curtis2020,382.5,php,800,417.5
-4711/03/01,462.5,465,463,462.5,411.5,412.5,410.5,462,828,462.5,425.0,Curtis2014,410.5,php,828,417.5
-4711/04/01,493.5,496,494,493.5,442.5,443.5,441.5,493,859,493.5,456.0,Curtis2014,441.5,php,859,417.5
-4711/05/01,523.5,526,524,523.5,472.5,473.5,471.5,524,889,523.5,486.0,Curtis2014,471.5,php,889,417.5
-4711/06/01,554.5,557,555,554.5,503.5,504.5,502.5,554,920,554.5,517.0,Curtis2014,502.5,php,920,417.5
-4711/07/01,584.5,587,585,584.5,533.5,534.5,532.5,585,950,584.5,547.0,Curtis2014,532.5,php,950,417.5
-4711/08/01,615.5,618,616,615.5,564.5,565.5,563.5,615,981,615.5,578.0,Curtis2014,563.5,php,981,417.5
-4711/09/01,646.5,649,647,646.5,595.5,596.5,594.5,646,1012,646.5,609.0,Curtis2014,594.5,php,1012,417.5
-4711/10/01,676.5,679,677,676.5,625.5,626.5,624.5,677,1042,676.5,639.0,Curtis2014,624.5,php,1042,417.5
-4711/11/01,707.5,710,708,707.5,656.5,657.5,655.5,707,1073,707.5,670.0,Curtis2014,655.5,php,1073,417.5
-4711/12/01,737.5,740,738,737.5,686.5,687.5,685.5,738,1103,737.5,700.0,Curtis2014,685.5,php,1103,417.5
