Gregorian,wikipedia,Fliegel,Hatcher,Meeus,Vallado,Curtis2020,Curtis2014,boost,php,pyorbital,NAOJ,minName,minJD,maxName,maxJD,max-min
1582/10/01,2299146.5,2299149,2299147,2299146.5,2299143.5,2299145.5,2299143.5,2299148,2299147,2299146.5,2299157.0,Vallado,2299143.5,NAOJ,2299157.0,13.5
1582/10/02,2299147.5,2299150,2299148,2299147.5,2299144.5,2299146.5,2299144.5,2299149,2299148,2299147.5,2299158.0,Vallado,2299144.5,NAOJ,2299158.0,13.5
1582/10/03,2299148.5,2299151,2299149,2299148.5,2299145.5,2299147.5,2299145.5,2299150,2299149,2299148.5,2299159.0,Vallado,2299145.5,NAOJ,2299159.0,13.5
1582/10/04,2299149.5,2299152,2299150,2299149.5,2299146.5,2299148.5,2299146.5,2299151,2299150,2299149.5,2299160.0,Vallado,2299146.5,NAOJ,2299160.0,13.5
1582/10/05,2299150.5,2299153,2299151,2299150.5,2299147.5,2299149.5,2299147.5,2299152,2299151,2299150.5,nan,Vallado,2299147.5,Fliegel,2299153,5.5
1582/10/06,2299151.5,2299154,2299152,2299151.5,2299148.5,2299150.5,2299148.5,2299153,2299152,2299151.5,nan,Vallado,2299148.5,Fliegel,2299154,5.5
1582/10/07,2299152.5,2299155,2299153,2299152.5,2299149.5,2299151.5,2299149.5,2299154,2299153,2299152.5,nan,Vallado,2299149.5,Fliegel,2299155,5.5
1582/10/08,2299153.5,2299156,2299154,2299153.5,2299150.5,2299152.5,2299150.5,2299155,2299154,2299153.5,nan,Vallado,2299150.5,Fliegel,2299156,5.5
1582/10/09,2299154.5,2299157,2299155,2299154.5,2299151.5,2299153.5,2299151.5,2299156,2299155,2299154.5,nan,Vallado,2299151.5,Fliegel,2299157,5.5
1582/10/10,2299155.5,2299158,2299156,2299155.5,2299152.5,2299154.5,2299152.5,2299157,2299156,2299155.5,nan,Vallado,2299152.5,Fliegel,2299158,5.5
1582/10/11,2299156.5,2299159,2299157,2299156.5,2299153.5,2299155.5,2299153.5,2299158,2299157,2299156.5,nan,Vallado,2299153.5,Fliegel,2299159,5.5
1582/10/12,2299157.5,2299160,2299158,2299157.5,2299154.5,2299156.5,2299154.5,2299159,2299158,2299157.5,nan,Vallado,2299154.5,Fliegel,2299160,5.5
1582/10/13,2299158.5,2299161,2299159,2299158.5,2299155.5,2299157.5,2299155.5,2299160,2299159,2299158.5,nan,Vallado,2299155.5,Fliegel,2299161,5.5
1582/10/14,2299159.5,2299162,2299160,2299159.5,2299156.5,2299158.5,2299156.5,2299161,2299160,2299159.5,nan,Vallado,2299156.5,Fliegel,2299162,5.5
1582/10/15,2299160.5,2299163,2299161,2299160.5,2299157.5,2299159.5,2299157.5,2299162,2299161,2299160.5,2299161.0,Vallado,2299157.5,Fliegel,2299163,5.5
1582/10/16,2299161.5,2299164,2299162,2299161.5,2299158.5,2299160.5,2299158.5,2299163,2299162,2299161.5,2299162.0,Vallado,2299158.5,Fliegel,2299164,5.5
1582/10/17,2299162.5,2299165,2299163,2299162.5,2299159.5,2299161.5,2299159.5,2299164,2299163,2299162.5,2299163.0,Vallado,2299159.5,Fliegel,2299165,5.5
1582/10/18,2299163.5,2299166,2299164,2299163.5,2299160.5,2299162.5,2299160.5,2299165,2299164,2299163.5,2299164.0,Vallado,2299160.5,Fliegel,2299166,5.5
1582/10/19,2299164.5,2299167,2299165,2299164.5,2299161.5,2299163.5,2299161.5,2299166,2299165,2299164.5,2299165.0,Vallado,2299161.5,Fliegel,2299167,5.5
1582/10/20,2299165.5,2299168,2299166,2299165.5,2299162.5,2299164.5,2299162.5,2299167,2299166,2299165.5,2299166.0,Vallado,2299162.5,Fliegel,2299168,5.5
1582/10/21,2299166.5,2299169,2299167,2299166.5,2299163.5,2299165.5,2299163.5,2299168,2299167,2299166.5,2299167.0,Vallado,2299163.5,Fliegel,2299169,5.5
1582/10/22,2299167.5,2299170,2299168,2299167.5,2299164.5,2299166.5,2299164.5,2299169,2299168,2299167.5,2299168.0,Vallado,2299164.5,Fliegel,2299170,5.5
1582/10/23,2299168.5,2299171,2299169,2299168.5,2299165.5,2299167.5,2299165.5,2299170,2299169,2299168.5,2299169.0,Vallado,2299165.5,Fliegel,2299171,5.5
1582/10/24,2299169.5,2299172,2299170,2299169.5,2299166.5,2299168.5,2299166.5,2299171,2299170,2299169.5,2299170.0,Vallado,2299166.5,Fliegel,2299172,5.5
1582/10/25,2299170.5,2299173,2299171,2299170.5,2299167.5,2299169.5,2299167.5,2299172,2299171,2299170.5,2299171.0,Vallado,2299167.5,Fliegel,2299173,5.5
1582/10/26,2299171.5,2299174,2299172,2299171.5,2299168.5,2299170.5,2299168.5,2299173,2299172,2299171.5,2299172.0,Vallado,2299168.5,Fliegel,2299174,5.5
1582/10/27,2299172.5,2299175,2299173,2299172.5,2299169.5,2299171.5,2299169.5,2299174,2299173,2299172.5,2299173.0,Vallado,2299169.5,Fliegel,2299175,5.5
1582/10/28,2299173.5,2299176,2299174,2299173.5,2299170.5,2299172.5,2299170.5,2299175,2299174,2299173.5,2299174.0,Vallado,2299170.5,Fliegel,2299176,5.5
1582/10/29,2299174.5,2299177,2299175,2299174.5,2299171.5,2299173.5,2299171.5,2299176,2299175,2299174.5,2299175.0,Vallado,2299171.5,Fliegel,2299177,5.5
1582/10/30,2299175.5,2299178,2299176,2299175.5,2299172.5,2299174.5,2299172.5,2299177,2299176,2299175.5,2299176.0,Vallado,2299172.5,Fliegel,2299178,5.5
1582/10/31,2299176.5,2299179,2299177,2299176.5,2299173.5,2299175.5,2299173.5,2299178,2299177,2299176.5,2299177.0,Vallado,2299173.5,Fliegel,2299179,5.5
