年月日,時刻,ユリウス日,(日のみ),修正ユリウス日,ユリウス世紀数
-4712/01/01,12:00:00,       0.00000,             0,-2400000.50000,-67.1196440794
-4712/02/01,12:00:00,      31.00000,            31,-2399969.50000,-67.1187953457
-4712/03/01,12:00:00,      60.00000,            60,-2399940.50000,-67.1180013689
-4712/04/01,12:00:00,      91.00000,            91,-2399909.50000,-67.1171526352
-4712/05/01,12:00:00,     121.00000,           121,-2399879.50000,-67.1163312799
-4712/06/01,12:00:00,     152.00000,           152,-2399848.50000,-67.1154825462
-4712/07/01,12:00:00,     182.00000,           182,-2399818.50000,-67.1146611910
-4712/08/01,12:00:00,     213.00000,           213,-2399787.50000,-67.1138124572
-4712/09/01,12:00:00,     244.00000,           244,-2399756.50000,-67.1129637235
-4712/10/01,12:00:00,     274.00000,           274,-2399726.50000,-67.1121423682
-4712/11/01,12:00:00,     305.00000,           305,-2399695.50000,-67.1112936345
-4712/12/01,12:00:00,     335.00000,           335,-2399665.50000,-67.1104722793
-4711/01/01,12:00:00,     366.00000,           366,-2399634.50000,-67.1096235455
-4711/02/01,12:00:00,     397.00000,           397,-2399603.50000,-67.1087748118
-4711/03/01,12:00:00,     425.00000,           425,-2399575.50000,-67.1080082136
-4711/04/01,12:00:00,     456.00000,           456,-2399544.50000,-67.1071594798
-4711/05/01,12:00:00,     486.00000,           486,-2399514.50000,-67.1063381246
-4711/06/01,12:00:00,     517.00000,           517,-2399483.50000,-67.1054893908
-4711/07/01,12:00:00,     547.00000,           547,-2399453.50000,-67.1046680356
-4711/08/01,12:00:00,     578.00000,           578,-2399422.50000,-67.1038193018
-4711/09/01,12:00:00,     609.00000,           609,-2399391.50000,-67.1029705681
-4711/10/01,12:00:00,     639.00000,           639,-2399361.50000,-67.1021492129
-4711/11/01,12:00:00,     670.00000,           670,-2399330.50000,-67.1013004791
-4711/12/01,12:00:00,     700.00000,           700,-2399300.50000,-67.1004791239
  -1/01/01,12:00:00, 1720693.00000,       1720693, -679307.50000,-20.0096372348
  -1/02/01,12:00:00, 1720724.00000,       1720724, -679276.50000,-20.0087885010
  -1/03/01,12:00:00, 1720752.00000,       1720752, -679248.50000,-20.0080219028
  -1/04/01,12:00:00, 1720783.00000,       1720783, -679217.50000,-20.0071731691
  -1/05/01,12:00:00, 1720813.00000,       1720813, -679187.50000,-20.0063518138
  -1/06/01,12:00:00, 1720844.00000,       1720844, -679156.50000,-20.0055030801
  -1/07/01,12:00:00, 1720874.00000,       1720874, -679126.50000,-20.0046817248
